Short_Label,Full_Label
Acute Cerebelli...,Acute Cerebellitis in HIV
Acute Unilatera...,Acute Unilateral Cerebellitis in HIV
Adenomyosis in ...,Adenomyosis in Gravid Uterus
Balloon Cell Co...,Balloon Cell Cortical Dysplasia
Bilateral Osgoo...,Bilateral Osgood-Schlatter Disease with Chronic Inflammatory Arthritis
Bilateral Ulnar...,Bilateral Ulnar Impaction Syndrome
Carolis Disease,Carolis Disease
Congenital Toxo...,Congenital Toxoplasmosis
Congenital Vagi...,Congenital Vaginal Cyst
Dermatomyositis,Dermatomyositis
Fukuyama Muscul...,Fukuyama Muscular Dystrophy
Gamekeepers Thumb,Gamekeepers Thumb
Hallervorden-Sp...,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
Hepatocellular ...,Hepatocellular Carcinoma (HCC) and Dysplastic Nodules with Cirrhosis
Inferior Vena C...,Inferior Vena Cava (IVC) Leiomyosarcoma-20240916T165709Z-001
Japanese B Ence...,Japanese B Encephalitis or Epstein-Barr Encephalitis
Leighs Disease ...,Leighs Disease in Spinal Cord and Inferior Colliculi
Low Medial Inse...,Low Medial Insertion of Common Bile Duct with Pancreas Divisum-20240916T165825Z-001
Lumbosacral Ple...,Lumbosacral Plexitis
Magnetic Resona...,Magnetic Resonance (MR) Brain
Magnetic Resona...,Magnetic Resonance (MR) Spine
Moyamoya Diseas...,Moyamoya Disease with Intraventricular Hemorrhage
Myositis Ossifi...,Myositis Ossificans Progressiva
Neurofibromatos...,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
Optic Glioma,Optic Glioma
Osmotic Demyeli...,Osmotic Demyelination Syndrome
Pachygyria with...,Pachygyria with Cerebellar Hypoplasia
Perisylvian Syn...,Perisylvian Syndrome
Pigmented Villo...,Pigmented Villonodular Synovitis (PVNS) of Ankle
Plexiform Neuro...,Plexiform Neurofibroma with Sphenoid Wing Absence
Rasmussens Ence...,Rasmussens Encephalitis
Retinoblastoma ...,Retinoblastoma with Intracranial Spread Along Cranial Nerve
Right Brachial ...,Right Brachial Plexitis
Sjögrens Syndrome,Sjögrens Syndrome
Sural Nerve Neu...,Sural Nerve Neurofibroma
Thoracic Outlet...,Thoracic Outlet Syndrome
Tuberous Sclerosis,Tuberous Sclerosis
Two-Week Follow...,Two-Week Follow-Up with Spectroscopy
Typical Adrenol...,Typical Adrenoleukodystrophy
Walker-Warburg ...,Walker-Warburg Syndrome
